2,0,3,2,3,0,2,0,4,3,2,2,4,3,4,3,2,3,2,6,2,2,4,4,4,5,6,2,2,4,6,5,7,2,13,15,6,9,12,8,3,6,11,7,8,9,9,10,10,12,3,13,14,11,13,15,10,20,14,8,13,18,14,13,11,13,19,20,15,18,15,16,21,15,16,15,11,21,32,20,16,21,21,22,27,19,17,22,22,20,22,14,27,25,18,20,16,17,19,16,14,16,8,12,14,17,18,14,15,16,15,18,16,21,11,14,17,20,22,12,13,9,14,13,18,11,13,12,18,21,20,19,14,13,17,15,10,17,21,20,20,13,18,20,21,18,16,17,12,24,23,16,18,18,15,14,14,13,25,22,13,24,22,12,15,10,17,8,22,14,5,21,14,15,13,10,13,15,16,14,15,17,11,9,7,8,12,7,11,9,19,10,12,10,18,9,9,4,11,9,5,12,7,8,3,5,10,10,13,6,7,10,7,8,11,8,8,8,9,10,8,2,11,14,10,13,6,14,8,9,12,17,6,9,8,5,14,14,16,6,9,8,2,10,11,6,9,7,10,7,9,5,0,4,3,9,'caminhao'
1,1,1,0,1,0,0,0,1,0,2,1,1,2,5,0,2,1,2,4,1,6,2,7,3,3,3,5,3,4,3,3,4,1,10,3,2,11,2,3,2,5,4,9,3,5,8,3,10,10,5,11,16,14,13,12,12,11,14,10,13,11,8,11,14,16,28,16,19,18,20,18,13,17,14,19,15,10,17,16,16,12,16,16,16,19,21,21,22,21,18,22,21,20,21,26,25,28,25,17,21,18,22,28,15,23,19,24,20,18,20,11,19,19,22,23,27,14,16,17,31,16,22,18,22,23,27,29,25,19,35,12,26,24,18,25,17,25,26,18,24,30,26,25,29,24,22,19,15,25,16,16,13,19,18,11,16,13,11,5,11,12,14,8,10,16,10,11,12,16,11,8,6,16,11,10,6,8,15,5,13,10,13,10,8,12,10,7,8,15,9,10,11,10,9,7,15,7,9,6,3,5,5,9,5,6,7,3,5,11,2,2,2,4,4,1,3,3,4,4,2,4,1,3,2,1,1,1,4,1,5,1,4,0,4,1,4,4,2,4,8,8,5,6,10,3,14,15,11,13,18,21,25,25,21,89,'caminhao'
13,2,2,4,2,0,1,3,3,3,4,1,5,1,1,2,3,1,5,2,3,4,4,1,5,3,2,3,3,5,1,3,5,9,8,4,3,9,10,3,4,7,9,9,11,11,13,11,8,13,13,11,18,11,11,15,13,7,15,6,21,17,12,20,15,13,9,13,21,15,15,14,19,17,16,22,18,19,11,18,15,14,12,14,19,14,18,14,23,10,15,16,19,12,9,22,25,13,16,20,18,14,18,15,19,15,13,15,23,13,18,11,27,11,13,20,21,10,25,18,16,21,12,17,21,18,21,19,18,22,21,8,18,24,14,17,22,20,17,27,17,18,19,15,19,17,21,17,19,30,17,13,14,17,12,14,12,18,23,20,13,14,19,7,19,14,16,7,13,8,12,14,9,10,14,15,11,7,10,15,16,18,14,12,11,15,14,14,16,11,14,16,10,16,8,12,14,8,16,13,14,10,10,9,11,8,15,12,7,13,10,9,12,16,10,11,7,10,10,11,7,12,10,8,8,10,6,8,12,8,8,8,7,11,6,14,1,7,5,7,8,0,0,4,6,6,9,2,3,3,8,1,6,6,5,43,'caminhao'
104,22,19,15,17,33,21,25,20,23,19,27,30,26,28,21,36,20,23,22,25,26,21,30,18,18,17,23,30,19,24,21,14,22,18,32,18,18,20,16,18,19,14,14,21,24,16,21,17,23,21,25,14,15,13,23,15,19,14,21,16,18,12,15,16,18,18,23,14,12,13,11,19,9,13,10,16,13,14,11,10,11,7,13,6,9,9,12,13,8,12,9,10,6,7,15,11,12,10,13,13,5,11,12,7,15,12,9,6,8,11,8,10,4,6,15,10,8,16,15,8,9,5,12,11,14,14,15,10,13,9,8,7,6,10,9,10,11,12,9,6,5,10,9,11,10,6,6,8,10,9,10,5,4,11,6,9,6,4,5,6,6,6,9,8,7,7,11,7,6,9,3,6,6,11,10,1,9,5,9,10,3,5,9,8,12,9,10,8,13,5,3,5,7,6,8,8,12,9,6,6,4,9,8,4,7,4,8,13,7,5,6,4,12,7,9,10,2,4,7,6,4,3,5,5,7,5,5,6,8,2,12,5,5,4,6,3,6,7,6,9,7,6,3,10,10,2,4,8,7,6,11,8,6,9,27,'caminhao'
19,9,3,4,5,3,4,7,5,4,9,4,4,10,11,5,13,9,7,5,15,9,12,17,6,7,6,10,6,12,17,14,11,13,9,6,11,11,22,13,15,8,23,19,14,14,20,19,11,23,21,19,19,16,18,27,21,19,25,28,27,21,19,31,24,31,14,30,28,25,44,30,38,35,45,30,59,31,48,41,37,34,40,32,33,33,34,25,27,28,36,21,21,23,17,21,14,23,26,20,17,19,25,21,21,32,28,24,38,28,23,29,19,25,34,21,27,28,28,35,33,27,32,33,41,33,35,48,31,24,30,22,30,28,14,19,14,12,6,14,9,8,3,7,4,5,3,4,5,1,5,1,5,0,5,2,2,2,1,0,2,2,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'caminhao'
1,2,0,2,1,1,2,1,1,1,3,4,3,2,5,5,5,7,4,2,3,5,2,7,8,6,3,4,6,7,4,1,2,6,9,5,4,6,7,2,6,3,10,9,9,9,7,14,12,11,11,16,7,8,15,8,12,12,9,6,9,14,12,12,8,15,15,11,11,12,11,17,14,11,11,12,9,3,17,13,8,11,16,14,9,9,13,16,15,10,19,11,12,17,14,14,18,13,22,11,12,16,17,10,16,13,17,16,16,13,11,12,25,14,9,15,19,16,13,15,19,17,20,24,15,18,16,15,21,19,29,22,22,24,13,25,15,20,24,25,19,21,29,22,24,28,17,20,29,21,16,18,16,25,13,18,22,15,16,16,15,16,14,10,15,14,10,11,9,11,8,8,6,9,10,14,7,6,6,7,9,8,7,9,8,5,4,2,4,1,1,9,4,5,11,8,6,5,6,4,5,7,7,4,3,4,5,4,2,5,10,6,6,3,5,8,7,3,6,9,5,5,7,2,9,9,6,9,8,8,5,8,11,13,13,11,14,14,9,25,31,26,29,26,33,30,39,34,28,28,32,30,21,26,21,61,'caminhao'
76,8,11,20,26,13,9,17,20,20,23,22,28,20,13,17,17,22,25,18,20,11,24,18,16,8,17,20,18,15,20,15,15,14,16,22,20,21,17,14,13,14,13,28,16,17,26,21,16,17,17,15,21,13,20,17,10,21,16,20,13,17,27,14,17,21,23,23,20,24,22,24,14,11,21,14,25,15,12,21,15,21,16,14,21,13,22,19,16,15,15,24,13,15,14,13,16,11,6,15,13,14,10,14,12,11,13,13,13,9,15,13,12,14,13,8,12,10,13,9,16,7,11,12,8,7,8,8,9,11,14,9,11,13,13,5,2,10,13,15,6,7,5,11,8,11,8,15,7,13,15,12,10,12,7,15,12,11,11,11,16,16,5,13,11,12,17,20,18,13,26,20,16,19,14,17,13,12,15,10,7,12,10,16,10,8,7,5,8,4,7,9,7,11,10,5,3,5,7,6,7,3,3,10,4,5,7,4,4,4,2,3,2,5,3,7,4,4,2,3,2,4,2,4,5,4,2,1,1,0,3,2,2,4,2,6,2,2,4,3,0,3,1,0,2,0,1,0,1,1,0,0,0,0,0,3,'caminhao'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,2,2,4,1,3,3,4,4,1,5,6,3,3,2,3,4,4,7,3,7,4,5,3,5,8,8,6,10,11,4,8,10,11,7,5,15,12,10,12,11,13,10,10,16,9,10,9,15,19,16,6,13,14,10,13,17,16,10,17,13,12,18,13,19,13,5,11,10,17,16,15,17,11,21,17,14,9,17,14,14,15,13,12,19,22,14,25,14,14,14,17,12,8,21,13,16,16,15,22,21,24,26,15,20,18,14,26,23,19,14,17,18,18,16,19,15,11,10,3,13,7,13,19,15,16,9,9,16,15,10,8,16,5,11,14,8,8,12,3,7,6,9,4,6,8,9,8,9,9,13,9,3,11,10,9,9,11,7,12,13,6,3,12,3,11,2,12,5,10,14,10,14,9,15,14,12,11,16,7,13,15,18,12,9,11,13,15,12,19,14,19,12,24,15,18,13,16,17,25,31,27,28,28,30,28,40,56,47,66,37,45,53,222,'caminhao'
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,2,1,0,0,1,0,1,1,2,1,0,3,2,3,3,1,4,2,7,5,8,4,5,8,7,8,6,10,10,10,15,8,10,7,9,10,9,6,14,12,15,19,13,18,13,12,21,19,20,12,13,12,14,15,15,14,21,19,10,14,20,16,15,16,15,24,19,13,16,21,16,25,23,24,17,22,13,23,25,17,18,9,12,16,13,16,17,17,20,18,18,17,19,18,17,18,16,13,17,13,13,9,11,14,8,11,12,13,10,9,11,7,9,17,12,15,3,10,4,8,6,9,12,12,8,7,16,8,15,5,10,7,7,13,4,11,12,13,7,11,7,12,16,10,11,4,7,8,7,12,9,10,10,11,7,12,9,12,14,10,12,14,13,7,13,14,5,10,13,10,13,13,14,12,13,8,8,10,9,12,4,8,7,13,13,10,19,9,20,14,18,4,14,8,14,8,15,15,10,16,18,19,23,19,23,20,30,22,30,23,37,31,29,23,37,42,34,46,26,33,39,41,134,'caminhao'
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,0,0,0,1,3,1,1,2,1,3,1,2,2,4,4,1,4,0,4,3,8,0,4,8,5,4,6,8,6,11,7,5,8,6,8,17,15,11,16,15,9,13,21,15,17,16,15,5,20,12,15,8,10,22,12,13,21,22,12,16,14,8,17,14,14,12,19,9,14,20,19,11,16,14,8,9,10,16,8,11,12,8,10,14,7,9,14,11,5,6,5,5,12,5,8,8,4,10,10,4,7,11,7,8,9,5,8,6,7,16,11,3,10,5,5,7,8,11,6,9,9,6,7,10,4,11,6,7,18,19,11,9,6,13,6,16,13,4,14,17,5,11,16,13,13,15,17,13,20,18,20,9,11,15,18,12,17,16,25,22,24,26,25,20,18,19,21,11,10,14,17,9,15,13,20,19,20,16,9,10,16,15,11,18,13,11,12,12,11,11,10,13,20,16,10,13,13,8,12,12,11,13,15,13,10,8,16,9,13,13,15,17,16,14,19,20,31,28,35,30,26,31,16,25,18,35,38,47,44,53,193,'caminhao'
